Date,始値,HighPrice,LowPrice,終値,SMA1[5],SMA2[13],SMA3[21],
2022/06/10 05:21,134.401,134.401,134.401,134.401,134.399,134.400,134.413,
2022/06/10 05:20,134.400,134.401,134.395,134.401,134.396,134.402,134.415,
2022/06/10 05:19,134.399,134.401,134.398,134.400,134.393,134.404,134.416,
2022/06/10 05:18,134.394,134.400,134.393,134.399,134.385,134.407,134.417,
2022/06/10 05:17,134.389,134.396,134.384,134.394,134.386,134.409,134.417,
2022/06/10 05:16,134.383,134.389,134.374,134.389,134.390,134.413,134.417,
2022/06/10 05:15,134.362,134.395,134.362,134.384,134.395,134.416,134.417,
2022/06/10 05:14,134.403,134.413,134.362,134.362,134.402,134.420,134.417,
2022/06/10 05:13,134.412,134.413,134.402,134.403,134.415,134.426,134.418,
2022/06/10 05:12,134.414,134.421,134.412,134.412,134.419,134.429,134.417,
2022/06/10 05:11,134.422,134.423,134.414,134.414,134.422,134.430,134.416,
2022/06/10 05:10,134.424,134.425,134.421,134.422,134.427,134.431,134.414,
2022/06/10 05:09,134.426,134.430,134.424,134.424,134.429,134.430,134.412,
2022/06/10 05:08,134.427,134.431,134.426,134.426,134.432,134.427,134.409,
2022/06/10 05:07,134.435,134.437,134.426,134.427,134.434,134.424,134.406,
2022/06/10 05:06,134.434,134.437,134.434,134.436,134.435,134.421,134.403,
2022/06/10 05:05,134.439,134.439,134.434,134.434,134.436,134.417,134.399,
2022/06/10 05:04,134.437,134.442,134.436,134.439,134.437,134.413,134.395,
2022/06/10 05:03,134.433,134.439,134.433,134.437,134.436,134.409,134.391,
2022/06/10 05:02,134.441,134.442,134.433,134.433,134.431,134.404,134.387,
2022/06/10 05:01,134.439,134.444,134.436,134.441,134.427,134.399,134.383,
2022/06/10 05:00,134.430,134.441,134.430,134.439,134.416,134.394,134.379,
2022/06/10 04:59,134.415,134.430,134.415,134.430,134.406,134.388,134.375,
2022/06/10 04:58,134.412,134.428,134.405,134.415,134.397,134.384,134.370,
2022/06/10 04:57,134.387,134.418,134.387,134.412,134.391,134.379,134.367,
2022/06/10 04:56,134.389,134.392,134.385,134.387,134.386,134.374,134.364,
2022/06/10 04:55,134.384,134.393,134.379,134.389,134.385,134.371,134.361,
2022/06/10 04:54,134.383,134.387,134.379,134.384,134.382,134.368,134.357,
2022/06/10 04:53,134.392,134.395,134.382,134.383,134.379,134.366,134.354,
2022/06/10 04:52,134.380,134.395,134.379,134.391,134.377,134.363,134.351,
2022/06/10 04:51,134.372,134.380,134.370,134.380,134.372,134.360,134.347,
2022/06/10 04:50,134.373,134.374,134.366,134.372,134.370,134.356,134.345,
2022/06/10 04:49,134.371,134.374,134.369,134.373,134.365,134.354,134.342,
2022/06/10 04:48,134.364,134.372,134.362,134.371,134.361,134.352,134.339,
2022/06/10 04:47,134.372,134.372,134.361,134.364,134.356,134.349,134.336,
2022/06/10 04:46,134.349,134.372,134.349,134.372,134.355,134.345,134.334,
2022/06/10 04:45,134.349,134.350,134.343,134.349,134.351,134.341,134.332,
2022/06/10 04:44,134.349,134.352,134.342,134.349,134.351,134.338,134.331,
2022/06/10 04:43,134.359,134.359,134.349,134.349,134.351,134.336,134.330,
2022/06/10 04:42,134.350,134.362,134.350,134.359,134.347,134.334,134.328,
