,?n?l,HighPrice,LowPrice,?I?l,SMA1[5],SMA2[13],SMA3[21],
2022/06/13 07:04,134.633,134.637,134.633,134.635,134.623,134.477,134.462,
2022/06/13 07:03,134.688,134.705,134.609,134.632,134.569,134.461,134.453,
2022/06/13 07:02,134.697,134.708,134.658,134.688,134.514,134.446,134.443,
2022/06/13 07:01,134.464,134.721,134.463,134.699,134.447,134.426,134.430,
2022/06/13 07:00,134.408,134.468,134.404,134.465,134.384,134.407,134.417,
2022/06/11 05:55,134.360,134.362,134.360,134.361,134.368,134.406,134.417,
2022/06/11 05:54,134.350,134.365,134.350,134.361,134.376,134.413,134.423,
2022/06/11 05:53,134.386,134.387,134.350,134.350,134.388,134.419,134.428,
2022/06/11 05:52,134.383,134.400,134.377,134.386,134.402,134.425,134.433,
2022/06/11 05:51,134.399,134.402,134.386,134.386,134.411,134.428,134.437,
2022/06/11 05:50,134.423,134.425,134.396,134.398,134.421,134.431,134.440,
2022/06/11 05:49,134.420,134.429,134.419,134.424,134.428,134.433,134.442,
2022/06/11 05:48,134.430,134.431,134.420,134.420,134.432,134.433,134.442,
2022/06/11 05:47,134.433,134.433,134.418,134.430,134.440,134.437,134.442,
2022/06/11 05:46,134.435,134.436,134.433,134.433,134.445,134.440,134.442,
2022/06/11 05:45,134.443,134.443,134.431,134.435,134.445,134.443,134.442,
2022/06/11 05:44,134.463,134.463,134.443,134.443,134.443,134.446,134.443,
2022/06/11 05:43,134.451,134.472,134.451,134.463,134.440,134.447,134.443,
2022/06/11 05:42,134.433,134.451,134.428,134.451,134.432,134.446,134.443,
2022/06/11 05:41,134.428,134.438,134.428,134.433,134.427,134.445,134.442,
2022/06/11 05:40,134.427,134.430,134.427,134.428,134.425,134.445,134.441,
2022/06/11 05:39,134.422,134.427,134.418,134.427,134.434,134.445,134.440,
2022/06/11 05:38,134.425,134.425,134.419,134.422,134.443,134.445,134.439,
2022/06/11 05:37,134.426,134.435,134.417,134.425,134.453,134.446,134.439,
2022/06/11 05:36,134.473,134.473,134.425,134.426,134.461,134.447,134.438,
2022/06/11 05:35,134.471,134.474,134.471,134.473,134.467,134.448,134.437,
2022/06/11 05:34,134.473,134.474,134.471,134.471,134.464,134.449,134.435,
2022/06/11 05:33,134.465,134.474,134.463,134.473,134.457,134.444,134.432,
2022/06/11 05:32,134.455,134.469,134.455,134.465,134.448,134.439,134.429,
2022/06/11 05:31,134.457,134.460,134.455,134.455,134.441,134.435,134.426,
2022/06/11 05:30,134.439,134.458,134.437,134.457,134.435,134.432,134.424,
2022/06/11 05:29,134.428,134.442,134.428,134.439,134.431,134.429,134.422,
